School.Year,District.Code,District,School.Code,Organization,Assessment.Name,ContentArea,Race,Gender,Grade,SpecialDemo,Geography,SubGroup,RowStatus,Tested,Proficient,PctProficient,ScaleScoreAvg
2021,10,Caesar Rodney School District,0,Caesar Rodney School District,Smarter Balanced Summative Assessment,MATH,African American,Male,8th Grade,Non-Foster Care,All Students,African American/Male/8th Grade/Non-Foster Care,REPORTED,26,5,19.23,2448.65
2021,10,Caesar Rodney School District,0,Caesar Rodney School District,Smarter Balanced Summative Assessment,MATH,African American,Male,8th Grade,Non-Homeless,All Students,African American/Male/8th Grade/Non-Homeless,REPORTED,24,5,20.83,2457.17
2021,10,Caesar Rodney School District,0,Caesar Rodney School District,Smarter Balanced Summative Assessment,MATH,African American,Male,8th Grade,Non-SWD,All Students,African American/Male/8th Grade/Non-SWD,REPORTED,21,5,23.81,2464.9
2021,10,Caesar Rodney School District,0,Caesar Rodney School District,Smarter Balanced Summative Assessment,MATH,White,Female,3rd Grade,Military Connected Youth,All Students,White/Female/3rd Grade/Military Connected Youth,REPORTED,32,11,34.38,2409.5
2021,10,Caesar Rodney School District,0,Caesar Rodney School District,Smarter Balanced Summative Assessment,MATH,White,Female,3rd Grade,Non-EL Students,All Students,White/Female/3rd Grade/Non-EL Students,REPORTED,121,36,29.75,2393.19
2021,10,Caesar Rodney School District,0,Caesar Rodney School District,Smarter Balanced Summative Assessment,MATH,White,Female,3rd Grade,Non-Foster Care,All Students,White/Female/3rd Grade/Non-Foster Care,REPORTED,123,37,30.08,2393.58
2021,10,Caesar Rodney School District,0,Caesar Rodney School District,Smarter Balanced Summative Assessment,MATH,White,Female,3rd Grade,Non-Homeless,All Students,White/Female/3rd Grade/Non-Homeless,REPORTED,123,37,30.08,2393.58
2021,10,Caesar Rodney School District,0,Caesar Rodney School District,Smarter Balanced Summative Assessment,MATH,White,Female,3rd Grade,Non Low-Income,All Students,White/Female/3rd Grade/Non Low-Income,REPORTED,100,36,36,2409.6
2021,10,Caesar Rodney School District,0,Caesar Rodney School District,Smarter Balanced Summative Assessment,MATH,White,Female,3rd Grade,Non-SWD,All Students,White/Female/3rd Grade/Non-SWD,REPORTED,98,32,32.65,2407.89
2021,10,Caesar Rodney School District,0,Caesar Rodney School District,Smarter Balanced Summative Assessment,MATH,White,Female,3rd Grade,Students with Disabilities,All Students,White/Female/3rd Grade/Students with Disabilities,REPORTED,25,5,20,2337.48
2021,10,Caesar Rodney School District,0,Caesar Rodney School District,Smarter Balanced Summative Assessment,MATH,White,Female,4th Grade,Military Connected Youth,All Students,White/Female/4th Grade/Military Connected Youth,REPORTED,24,9,37.5,2475.29
2021,10,Caesar Rodney School District,0,Caesar Rodney School District,Smarter Balanced Summative Assessment,MATH,White,Female,4th Grade,Non-EL Students,All Students,White/Female/4th Grade/Non-EL Students,REPORTED,92,21,22.83,2444.48
2021,10,Caesar Rodney School District,0,Caesar Rodney School District,Smarter Balanced Summative Assessment,MATH,White,Female,4th Grade,Non-Foster Care,All Students,White/Female/4th Grade/Non-Foster Care,REPORTED,93,21,22.58,2444.61
2021,10,Caesar Rodney School District,0,Caesar Rodney School District,Smarter Balanced Summative Assessment,MATH,White,Female,4th Grade,Non-Homeless,All Students,White/Female/4th Grade/Non-Homeless,REPORTED,93,21,22.58,2444.61
2021,10,Caesar Rodney School District,0,Caesar Rodney School District,Smarter Balanced Summative Assessment,MATH,White,Female,4th Grade,Non Low-Income,All Students,White/Female/4th Grade/Non Low-Income,REPORTED,74,18,24.32,2453.93
2021,10,Caesar Rodney School District,0,Caesar Rodney School District,Smarter Balanced Summative Assessment,MATH,White,Female,4th Grade,Non-SWD,All Students,White/Female/4th Grade/Non-SWD,REPORTED,75,21,28,2459.53
2021,10,Caesar Rodney School District,0,Caesar Rodney School District,Smarter Balanced Summative Assessment,MATH,White,Female,5th Grade,Military Connected Youth,All Students,White/Female/5th Grade/Military Connected Youth,REPORTED,16,5,31.25,2465.63
2021,10,Caesar Rodney School District,0,Caesar Rodney School District,Smarter Balanced Summative Assessment,MATH,White,Female,5th Grade,Non-EL Students,All Students,White/Female/5th Grade/Non-EL Students,REPORTED,84,16,19.05,2459.04
2021,10,Caesar Rodney School District,0,Caesar Rodney School District,Smarter Balanced Summative Assessment,MATH,White,Female,5th Grade,Non-Foster Care,All Students,White/Female/5th Grade/Non-Foster Care,REPORTED,87,17,19.54,2458.26
2021,10,Caesar Rodney School District,0,Caesar Rodney School District,Smarter Balanced Summative Assessment,MATH,White,Female,5th Grade,Non-Homeless,All Students,White/Female/5th Grade/Non-Homeless,REPORTED,87,17,19.54,2458.26
2021,10,Caesar Rodney School District,0,Caesar Rodney School District,Smarter Balanced Summative Assessment,MATH,White,Female,5th Grade,Non Low-Income,All Students,White/Female/5th Grade/Non Low-Income,REPORTED,73,16,21.92,2464.74
2021,10,Caesar Rodney School District,0,Caesar Rodney School District,Smarter Balanced Summative Assessment,MATH,White,Female,5th Grade,Non-SWD,All Students,White/Female/5th Grade/Non-SWD,REPORTED,77,17,22.08,2469.42
2021,10,Caesar Rodney School District,0,Caesar Rodney School District,Smarter Balanced Summative Assessment,MATH,White,Female,6th Grade,Non-EL Students,All Students,White/Female/6th Grade/Non-EL Students,REPORTED,75,14,18.67,2492.03
2021,10,Caesar Rodney School District,0,Caesar Rodney School District,Smarter Balanced Summative Assessment,MATH,White,Female,6th Grade,Non-Foster Care,All Students,White/Female/6th Grade/Non-Foster Care,REPORTED,75,14,18.67,2492.83
2021,10,Caesar Rodney School District,0,Caesar Rodney School District,Smarter Balanced Summative Assessment,MATH,White,Female,6th Grade,Non-Homeless,All Students,White/Female/6th Grade/Non-Homeless,REPORTED,73,14,19.18,2491.92
2021,10,Caesar Rodney School District,0,Caesar Rodney School District,Smarter Balanced Summative Assessment,MATH,White,Female,6th Grade,Non Low-Income,All Students,White/Female/6th Grade/Non Low-Income,REPORTED,67,13,19.4,2496.15
2021,10,Caesar Rodney School District,0,Caesar Rodney School District,Smarter Balanced Summative Assessment,MATH,White,Female,6th Grade,Non-SWD,All Students,White/Female/6th Grade/Non-SWD,REPORTED,68,14,20.59,2500.66
2021,10,Caesar Rodney School District,0,Caesar Rodney School District,Smarter Balanced Summative Assessment,MATH,White,Female,7th Grade,Military Connected Youth,All Students,White/Female/7th Grade/Military Connected Youth,REPORTED,19,13,68.42,2589.47
2021,10,Caesar Rodney School District,0,Caesar Rodney School District,Smarter Balanced Summative Assessment,MATH,White,Female,7th Grade,Non-EL Students,All Students,White/Female/7th Grade/Non-EL Students,REPORTED,70,27,38.57,2527.61
2021,10,Caesar Rodney School District,0,Caesar Rodney School District,Smarter Balanced Summative Assessment,MATH,White,Female,7th Grade,Non-Foster Care,All Students,White/Female/7th Grade/Non-Foster Care,REPORTED,72,29,40.28,2529.46
2021,10,Caesar Rodney School District,0,Caesar Rodney School District,Smarter Balanced Summative Assessment,MATH,White,Female,7th Grade,Non-Homeless,All Students,White/Female/7th Grade/Non-Homeless,REPORTED,72,29,40.28,2529.46
2021,10,Caesar Rodney School District,0,Caesar Rodney School District,Smarter Balanced Summative Assessment,MATH,White,Female,7th Grade,Non Low-Income,All Students,White/Female/7th Grade/Non Low-Income,REPORTED,65,29,44.62,2542.25
2021,10,Caesar Rodney School District,0,Caesar Rodney School District,Smarter Balanced Summative Assessment,MATH,White,Female,7th Grade,Non-SWD,All Students,White/Female/7th Grade/Non-SWD,REPORTED,63,29,46.03,2550.6
2021,10,Caesar Rodney School District,0,Caesar Rodney School District,Smarter Balanced Summative Assessment,MATH,White,Female,8th Grade,Non-EL Students,All Students,White/Female/8th Grade/Non-EL Students,REPORTED,35,13,37.14,2550.77
2021,10,Caesar Rodney School District,0,Caesar Rodney School District,Smarter Balanced Summative Assessment,MATH,White,Female,8th Grade,Non-Foster Care,All Students,White/Female/8th Grade/Non-Foster Care,REPORTED,35,13,37.14,2550.77
2021,10,Caesar Rodney School District,0,Caesar Rodney School District,Smarter Balanced Summative Assessment,MATH,White,Female,8th Grade,Non-Homeless,All Students,White/Female/8th Grade/Non-Homeless,REPORTED,34,13,38.24,2556.41
2021,10,Caesar Rodney School District,0,Caesar Rodney School District,Smarter Balanced Summative Assessment,MATH,White,Female,8th Grade,Non Low-Income,All Students,White/Female/8th Grade/Non Low-Income,REPORTED,33,13,39.39,2553.12
2021,10,Caesar Rodney School District,0,Caesar Rodney School District,Smarter Balanced Summative Assessment,MATH,White,Female,8th Grade,Non-SWD,All Students,White/Female/8th Grade/Non-SWD,REPORTED,34,13,38.24,2554.21
2021,10,Caesar Rodney School District,0,Caesar Rodney School District,Smarter Balanced Summative Assessment,MATH,White,Male,3rd Grade,Military Connected Youth,All Students,White/Male/3rd Grade/Military Connected Youth,REPORTED,31,16,51.61,2433.94
2021,10,Caesar Rodney School District,0,Caesar Rodney School District,Smarter Balanced Summative Assessment,MATH,White,Male,3rd Grade,Non-EL Students,All Students,White/Male/3rd Grade/Non-EL Students,REPORTED,104,46,44.23,2420.89
2021,10,Caesar Rodney School District,0,Caesar Rodney School District,Smarter Balanced Summative Assessment,MATH,White,Male,3rd Grade,Non-Foster Care,All Students,White/Male/3rd Grade/Non-Foster Care,REPORTED,104,47,45.19,2421.37
2021,10,Caesar Rodney School District,0,Caesar Rodney School District,Smarter Balanced Summative Assessment,MATH,White,Male,3rd Grade,Non-Homeless,All Students,White/Male/3rd Grade/Non-Homeless,REPORTED,102,47,46.08,2424.54
2021,10,Caesar Rodney School District,0,Caesar Rodney School District,Smarter Balanced Summative Assessment,MATH,White,Male,3rd Grade,Non Low-Income,All Students,White/Male/3rd Grade/Non Low-Income,REPORTED,92,43,46.74,2428.12
2021,10,Caesar Rodney School District,0,Caesar Rodney School District,Smarter Balanced Summative Assessment,MATH,White,Male,3rd Grade,Non-SWD,All Students,White/Male/3rd Grade/Non-SWD,REPORTED,91,47,51.65,2433.22
2021,10,Caesar Rodney School District,0,Caesar Rodney School District,Smarter Balanced Summative Assessment,MATH,White,Male,4th Grade,Military Connected Youth,All Students,White/Male/4th Grade/Military Connected Youth,REPORTED,23,8,34.78,2454.3
2021,10,Caesar Rodney School District,0,Caesar Rodney School District,Smarter Balanced Summative Assessment,MATH,White,Male,4th Grade,Non-EL Students,All Students,White/Male/4th Grade/Non-EL Students,REPORTED,101,32,31.68,2449.04
2021,10,Caesar Rodney School District,0,Caesar Rodney School District,Smarter Balanced Summative Assessment,MATH,White,Male,4th Grade,Non-Foster Care,All Students,White/Male/4th Grade/Non-Foster Care,REPORTED,102,33,32.35,2450.96
2021,10,Caesar Rodney School District,0,Caesar Rodney School District,Smarter Balanced Summative Assessment,MATH,White,Male,4th Grade,Non-Homeless,All Students,White/Male/4th Grade/Non-Homeless,REPORTED,99,32,32.32,2451.97
2021,10,Caesar Rodney School District,0,Caesar Rodney School District,Smarter Balanced Summative Assessment,MATH,White,Male,4th Grade,Non Low-Income,All Students,White/Male/4th Grade/Non Low-Income,REPORTED,90,32,35.56,2455.22
2021,10,Caesar Rodney School District,0,Caesar Rodney School District,Smarter Balanced Summative Assessment,MATH,White,Male,4th Grade,Non-SWD,All Students,White/Male/4th Grade/Non-SWD,REPORTED,77,30,38.96,2467.69
2021,10,Caesar Rodney School District,0,Caesar Rodney School District,Smarter Balanced Summative Assessment,MATH,White,Male,5th Grade,Military Connected Youth,All Students,White/Male/5th Grade/Military Connected Youth,REPORTED,24,9,37.5,2501.92
2021,10,Caesar Rodney School District,0,Caesar Rodney School District,Smarter Balanced Summative Assessment,MATH,White,Male,5th Grade,Non-EL Students,All Students,White/Male/5th Grade/Non-EL Students,REPORTED,103,25,24.27,2469.58
2021,10,Caesar Rodney School District,0,Caesar Rodney School District,Smarter Balanced Summative Assessment,MATH,White,Male,5th Grade,Non-Foster Care,All Students,White/Male/5th Grade/Non-Foster Care,REPORTED,105,25,23.81,2468.63
2021,10,Caesar Rodney School District,0,Caesar Rodney School District,Smarter Balanced Summative Assessment,MATH,White,Male,5th Grade,Non-Homeless,All Students,White/Male/5th Grade/Non-Homeless,REPORTED,104,25,24.04,2470.03
2021,10,Caesar Rodney School District,0,Caesar Rodney School District,Smarter Balanced Summative Assessment,MATH,White,Male,5th Grade,Non Low-Income,All Students,White/Male/5th Grade/Non Low-Income,REPORTED,87,25,28.74,2484.21
2021,10,Caesar Rodney School District,0,Caesar Rodney School District,Smarter Balanced Summative Assessment,MATH,White,Male,5th Grade,Non-SWD,All Students,White/Male/5th Grade/Non-SWD,REPORTED,81,23,28.4,2486.75
2021,10,Caesar Rodney School District,0,Caesar Rodney School District,Smarter Balanced Summative Assessment,MATH,White,Male,6th Grade,Non-EL Students,All Students,White/Male/6th Grade/Non-EL Students,REPORTED,61,17,27.87,2514.36
2021,10,Caesar Rodney School District,0,Caesar Rodney School District,Smarter Balanced Summative Assessment,MATH,White,Male,6th Grade,Non-Foster Care,All Students,White/Male/6th Grade/Non-Foster Care,REPORTED,61,17,27.87,2514.36
2021,10,Caesar Rodney School District,0,Caesar Rodney School District,Smarter Balanced Summative Assessment,MATH,White,Male,6th Grade,Non-Homeless,All Students,White/Male/6th Grade/Non-Homeless,REPORTED,61,17,27.87,2514.36
2021,10,Caesar Rodney School District,0,Caesar Rodney School District,Smarter Balanced Summative Assessment,MATH,White,Male,6th Grade,Non Low-Income,All Students,White/Male/6th Grade/Non Low-Income,REPORTED,52,15,28.85,2516.87
2021,10,Caesar Rodney School District,0,Caesar Rodney School District,Smarter Balanced Summative Assessment,MATH,White,Male,6th Grade,Non-SWD,All Students,White/Male/6th Grade/Non-SWD,REPORTED,55,16,29.09,2523.24
2021,10,Caesar Rodney School District,0,Caesar Rodney School District,Smarter Balanced Summative Assessment,MATH,White,Male,7th Grade,Military Connected Youth,All Students,White/Male/7th Grade/Military Connected Youth,REPORTED,16,10,62.5,2575.31
2021,10,Caesar Rodney School District,0,Caesar Rodney School District,Smarter Balanced Summative Assessment,MATH,White,Male,7th Grade,Non-EL Students,All Students,White/Male/7th Grade/Non-EL Students,REPORTED,62,29,46.77,2543.77
2021,10,Caesar Rodney School District,0,Caesar Rodney School District,Smarter Balanced Summative Assessment,MATH,White,Male,7th Grade,Non-Foster Care,All Students,White/Male/7th Grade/Non-Foster Care,REPORTED,64,31,48.44,2547.97
2021,10,Caesar Rodney School District,0,Caesar Rodney School District,Smarter Balanced Summative Assessment,MATH,White,Male,7th Grade,Non-Homeless,All Students,White/Male/7th Grade/Non-Homeless,REPORTED,64,31,48.44,2547.97
2021,10,Caesar Rodney School District,0,Caesar Rodney School District,Smarter Balanced Summative Assessment,MATH,White,Male,7th Grade,Non Low-Income,All Students,White/Male/7th Grade/Non Low-Income,REPORTED,57,29,50.88,2558.51
2021,10,Caesar Rodney School District,0,Caesar Rodney School District,Smarter Balanced Summative Assessment,MATH,White,Male,7th Grade,Non-SWD,All Students,White/Male/7th Grade/Non-SWD,REPORTED,54,31,57.41,2570.93
2021,10,Caesar Rodney School District,0,Caesar Rodney School District,Smarter Balanced Summative Assessment,MATH,White,Male,8th Grade,Military Connected Youth,All Students,White/Male/8th Grade/Military Connected Youth,REPORTED,16,7,43.75,2559.38
2021,10,Caesar Rodney School District,0,Caesar Rodney School District,Smarter Balanced Summative Assessment,MATH,White,Male,8th Grade,Non-EL Students,All Students,White/Male/8th Grade/Non-EL Students,REPORTED,62,21,33.87,2542.89
2021,10,Caesar Rodney School District,0,Caesar Rodney School District,Smarter Balanced Summative Assessment,MATH,White,Male,8th Grade,Non-Foster Care,All Students,White/Male/8th Grade/Non-Foster Care,REPORTED,64,22,34.38,2541.95
2021,10,Caesar Rodney School District,0,Caesar Rodney School District,Smarter Balanced Summative Assessment,MATH,White,Male,8th Grade,Non-Homeless,All Students,White/Male/8th Grade/Non-Homeless,REPORTED,64,22,34.38,2541.95
2021,10,Caesar Rodney School District,0,Caesar Rodney School District,Smarter Balanced Summative Assessment,MATH,White,Male,8th Grade,Non Low-Income,All Students,White/Male/8th Grade/Non Low-Income,REPORTED,58,22,37.93,2549.95
2021,10,Caesar Rodney School District,0,Caesar Rodney School District,Smarter Balanced Summative Assessment,MATH,White,Male,8th Grade,Non-SWD,All Students,White/Male/8th Grade/Non-SWD,REPORTED,57,22,38.6,2557.04
2021,10,Caesar Rodney School District,0,Caesar Rodney School District,Smarter Balanced Summative Assessment,MATH,Multi-Racial,Male,3rd Grade,Non-EL Students,All Students,Multi-Racial/Male/3rd Grade/Non-EL Students,REPORTED,19,5,26.32,2405.68
2021,10,Caesar Rodney School District,0,Caesar Rodney School District,Smarter Balanced Summative Assessment,MATH,Multi-Racial,Male,3rd Grade,Non-Foster Care,All Students,Multi-Racial/Male/3rd Grade/Non-Foster Care,REPORTED,20,5,25,2405.3
2021,10,Caesar Rodney School District,0,Caesar Rodney School District,Smarter Balanced Summative Assessment,MATH,Multi-Racial,Male,3rd Grade,Non-Homeless,All Students,Multi-Racial/Male/3rd Grade/Non-Homeless,REPORTED,20,5,25,2405.3
2021,10,Caesar Rodney School District,610,Allen Frear Elementary School,Smarter Balanced Summative Assessment,MATH,White,Female,3rd Grade,Non-EL Students,All Students,White/Female/3rd Grade/Non-EL Students,REPORTED,29,10,34.48,2407.41
2021,10,Caesar Rodney School District,610,Allen Frear Elementary School,Smarter Balanced Summative Assessment,MATH,White,Female,3rd Grade,Non-Foster Care,All Students,White/Female/3rd Grade/Non-Foster Care,REPORTED,30,11,36.67,2408.63
2021,10,Caesar Rodney School District,610,Allen Frear Elementary School,Smarter Balanced Summative Assessment,MATH,White,Female,3rd Grade,Non-Homeless,All Students,White/Female/3rd Grade/Non-Homeless,REPORTED,30,11,36.67,2408.63
2021,10,Caesar Rodney School District,610,Allen Frear Elementary School,Smarter Balanced Summative Assessment,MATH,White,Female,3rd Grade,Non Low-Income,All Students,White/Female/3rd Grade/Non Low-Income,REPORTED,23,11,47.83,2429.96
2021,10,Caesar Rodney School District,610,Allen Frear Elementary School,Smarter Balanced Summative Assessment,MATH,White,Female,3rd Grade,Non-SWD,All Students,White/Female/3rd Grade/Non-SWD,REPORTED,24,10,41.67,2424.5
2021,10,Caesar Rodney School District,610,Allen Frear Elementary School,Smarter Balanced Summative Assessment,MATH,White,Female,4th Grade,Non-EL Students,All Students,White/Female/4th Grade/Non-EL Students,REPORTED,15,6,40,2490.53
2021,10,Caesar Rodney School District,610,Allen Frear Elementary School,Smarter Balanced Summative Assessment,MATH,White,Female,4th Grade,Non-Foster Care,All Students,White/Female/4th Grade/Non-Foster Care,REPORTED,15,6,40,2490.53
2021,10,Caesar Rodney School District,610,Allen Frear Elementary School,Smarter Balanced Summative Assessment,MATH,White,Female,4th Grade,Non-Homeless,All Students,White/Female/4th Grade/Non-Homeless,REPORTED,15,6,40,2490.53
2021,10,Caesar Rodney School District,610,Allen Frear Elementary School,Smarter Balanced Summative Assessment,MATH,White,Female,4th Grade,Non Low-Income,All Students,White/Female/4th Grade/Non Low-Income,REPORTED,15,6,40,2490.53
2021,10,Caesar Rodney School District,610,Allen Frear Elementary School,Smarter Balanced Summative Assessment,MATH,White,Male,3rd Grade,Non-EL Students,All Students,White/Male/3rd Grade/Non-EL Students,REPORTED,24,16,66.67,2447.67
2021,10,Caesar Rodney School District,610,Allen Frear Elementary School,Smarter Balanced Summative Assessment,MATH,White,Male,3rd Grade,Non-Foster Care,All Students,White/Male/3rd Grade/Non-Foster Care,REPORTED,25,17,68,2447.28
2021,10,Caesar Rodney School District,610,Allen Frear Elementary School,Smarter Balanced Summative Assessment,MATH,White,Male,3rd Grade,Non-Homeless,All Students,White/Male/3rd Grade/Non-Homeless,REPORTED,24,17,70.83,2450.29
2021,10,Caesar Rodney School District,610,Allen Frear Elementary School,Smarter Balanced Summative Assessment,MATH,White,Male,3rd Grade,Non Low-Income,All Students,White/Male/3rd Grade/Non Low-Income,REPORTED,21,15,71.43,2455.71
2021,10,Caesar Rodney School District,610,Allen Frear Elementary School,Smarter Balanced Summative Assessment,MATH,White,Male,3rd Grade,Non-SWD,All Students,White/Male/3rd Grade/Non-SWD,REPORTED,24,17,70.83,2449.08
2021,10,Caesar Rodney School District,610,Allen Frear Elementary School,Smarter Balanced Summative Assessment,MATH,White,Male,4th Grade,Non-EL Students,All Students,White/Male/4th Grade/Non-EL Students,REPORTED,23,10,43.48,2474.78
2021,10,Caesar Rodney School District,610,Allen Frear Elementary School,Smarter Balanced Summative Assessment,MATH,White,Male,4th Grade,Non-Foster Care,All Students,White/Male/4th Grade/Non-Foster Care,REPORTED,23,10,43.48,2474.78
2021,10,Caesar Rodney School District,610,Allen Frear Elementary School,Smarter Balanced Summative Assessment,MATH,White,Male,4th Grade,Non-Homeless,All Students,White/Male/4th Grade/Non-Homeless,REPORTED,23,10,43.48,2474.78
2021,10,Caesar Rodney School District,610,Allen Frear Elementary School,Smarter Balanced Summative Assessment,MATH,White,Male,4th Grade,Non Low-Income,All Students,White/Male/4th Grade/Non Low-Income,REPORTED,20,9,45,2477.1
2021,10,Caesar Rodney School District,610,Allen Frear Elementary School,Smarter Balanced Summative Assessment,MATH,White,Male,4th Grade,Non-SWD,All Students,White/Male/4th Grade/Non-SWD,REPORTED,17,7,41.18,2474.06
2021,10,Caesar Rodney School District,610,Allen Frear Elementary School,Smarter Balanced Summative Assessment,MATH,White,Male,5th Grade,Non-EL Students,All Students,White/Male/5th Grade/Non-EL Students,REPORTED,17,5,29.41,2487.65
2021,10,Caesar Rodney School District,610,Allen Frear Elementary School,Smarter Balanced Summative Assessment,MATH,White,Male,5th Grade,Non-Foster Care,All Students,White/Male/5th Grade/Non-Foster Care,REPORTED,17,5,29.41,2487.65
2021,10,Caesar Rodney School District,610,Allen Frear Elementary School,Smarter Balanced Summative Assessment,MATH,White,Male,5th Grade,Non-Homeless,All Students,White/Male/5th Grade/Non-Homeless,REPORTED,17,5,29.41,2487.65
2021,10,Caesar Rodney School District,612,Major George S. Welch Elementary School,Smarter Balanced Summative Assessment,MATH,White,Female,3rd Grade,Military Connected Youth,All Students,White/Female/3rd Grade/Military Connected Youth,REPORTED,18,6,33.33,2418.39
2021,10,Caesar Rodney School District,612,Major George S. Welch Elementary School,Smarter Balanced Summative Assessment,MATH,White,Female,3rd Grade,Non-EL Students,All Students,White/Female/3rd Grade/Non-EL Students,REPORTED,20,8,40,2426.4
2021,10,Caesar Rodney School District,612,Major George S. Welch Elementary School,Smarter Balanced Summative Assessment,MATH,White,Female,3rd Grade,Non-Foster Care,All Students,White/Female/3rd Grade/Non-Foster Care,REPORTED,20,8,40,2426.4
2021,10,Caesar Rodney School District,612,Major George S. Welch Elementary School,Smarter Balanced Summative Assessment,MATH,White,Female,3rd Grade,Non-Homeless,All Students,White/Female/3rd Grade/Non-Homeless,REPORTED,20,8,40,2426.4
2021,10,Caesar Rodney School District,612,Major George S. Welch Elementary School,Smarter Balanced Summative Assessment,MATH,White,Female,3rd Grade,Non Low-Income,All Students,White/Female/3rd Grade/Non Low-Income,REPORTED,20,8,40,2426.4
2021,10,Caesar Rodney School District,612,Major George S. Welch Elementary School,Smarter Balanced Summative Assessment,MATH,White,Male,3rd Grade,Military Connected Youth,All Students,White/Male/3rd Grade/Military Connected Youth,REPORTED,17,6,35.29,2416.76
2021,10,Caesar Rodney School District,612,Major George S. Welch Elementary School,Smarter Balanced Summative Assessment,MATH,White,Male,3rd Grade,Non-EL Students,All Students,White/Male/3rd Grade/Non-EL Students,REPORTED,18,6,33.33,2416.78
